VERSION 3
POINT_NUMB ADDR ID                                   TYP MESSAGE                              ALM   EQ  INF   OR  UN  RTU  ASDU       KCONV1       KCONV2  SUPCMD  DC  PR       INIVAL "SUBEST~BAY~DESCRIPTION"
 111009       0 ПС35Q11H-Fault                         D Тривога/немає                        106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q11H~НесправністьВВ"
 111010       0 ПС35Q11H-AnFault                       D Тривога/немає                        106   27    0    0   E    0     1       1.0000       0.0000       0   0   1       0.0000 "ПС35~Q11H~ТривогаАналоговихВимірів"
 111011       0 ПС35Q11H-3H3                           D Виведено/Введено                     106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q11H~ПоложенняЗаземлювача"
  12001       0 ПС35Q2H-U                              A кВ                                   101    1    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q2H~Напруга"
  12002       0 ПС35Q2H-I                              A А                                    102    2    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q2H~Струм"
  12003       0 ПС35Q2H-P                              A МВт                                  103    3    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q2H~АктивнаПотужність "
  12004       0 ПС35Q2H-Q                              A МВар                                 104    4    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q2H~РеактивнаПотужність"
  12005       0 ПС35Q2H-A                              A МВА                                  105    8    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q2H~ПовнаПотужність"
  12006       0 ПС35Q2H-BB                             D Виведено/Введено                       0   28    0    0   t    0     2       1.0000       0.0000       0   0   2       1.0000 "ПС35~Q2H~ПоложенняВВ"
  12007       0 ПС35Q2H-TK_BB                          D Виведено/Введено                       0   28    0    7   t    0    45       1.0000       0.0000       1   3   2       0.0000 "ПС35~Q2H~ТелекеруванняяВВ"
  12008       0 ПС35Q2H-Avar                           D Тривога/немає                        105   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q2H~АварійнеВимкненняВВ"
  12009       0 ПС35Q2H-Fault                          D Тривога/немає                        106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q2H~НесправністьВВ"
  12010       0 ПС35Q2H-AnFault                        D Тривога/немає                        106   27    0    0   E    0     1       1.0000       0.0000       0   0   1       0.0000 "ПС35~Q2H~ТривогаАналоговихВимірів"
  12011       0 ПС35Q2H-3H3                            D Виведено/Введено                     106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q2H~ПоложенняЗаземлювача"
  14001       0 ПС35Q4H-U                              A кВ                                   101    1    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q4H~Напруга"
  14002       0 ПС35Q4H-I                              A А                                    102    2    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q4H~Струм"
  14003       0 ПС35Q4H-P                              A МВт                                  103    3    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q4H~АктивнаПотужність "
  14004       0 ПС35Q4H-Q                              A МВар                                 104    4    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q4H~РеактивнаПотужність"
  14005       0 ПС35Q4H-A                              A МВА                                  105    8    0    0   t    0    13       1.0000       0.0000       0  -2   2       0.0000 "ПС35~Q4H~ПовнаПотужність"
  14006       0 ПС35Q4H-BB                             D Виведено/Введено                       0   28    0    0   t    0     2       1.0000       0.0000       0   0   2       1.0000 "ПС35~Q4H~ПоложенняВВ"
  14007       0 ПС35Q4H-TK_BB                          D Виведено/Введено                       0   28    0    7   t    0    45       1.0000       0.0000       1   3   2       0.0000 "ПС35~Q4H~ТелекеруванняяВВ"
  14008       0 ПС35Q4H-Avar                           D Тривога/немає                        105   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q4H~АварійнеВимкненняВВ"
  14009       0 ПС35Q4H-Fault                          D Тривога/немає                        106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q4H~НесправністьВВ"
  14010       0 ПС35Q4H-AnFault                        D Тривога/немає                        106   27    0    0   E    0     1       1.0000       0.0000       0   0   1       0.0000 "ПС35~Q4H~ТривогаАналоговихВимірів"
  14011       0 ПС35Q4H-3H3                            D Виведено/Введено                     106   27    0    0   E    0     1       1.0000       0.0000       0   0   0       0.0000 "ПС35~Q4H~ПоложенняЗаземлювача"
